SlNo,Qno.,Species Name,Number Ind
632,22,Terminalia paniculata,1
633,22,Axonopus copmpressus,24
634,22,Lindernia antipoda,1
635,22,Phyllanthus sps,3
636,22,Peperomia pellucida,2
637,22,Hyptis suaveolens,26
638,22,Naragami aalata,12
639,22,Allmania nudiflora,1
640,22,Crotalaria striata,1
641,22,Biophytum sensitivum,19
642,22,Axonopus copmpressus,14
643,22,Fern?,3
644,22,Murdannia sps,3
645,22,Theriophonum fisheri,1
646,22,Spermacoce articularis,36
647,22,Eupatorium odoratum,2
648,22,Phyllanthus sps,1
649,23,Peperomia pellucida,25
650,23,Pogostemon sps,7
651,23,Hyptis suaveolens,53
652,23,Mimosa pudica,7
653,23,Crotalaria retusa,1
654,23,Phyllanthus sps,3
655,23,Spermacoce articularis,54
656,23,Euphorbia hirta,29
657,23,Sebastiania chamelia,4
658,23,Phyllanthussps-2,8
659,23,Biophytum sensitivum,17
660,23,Staorogyne zeylanica,1
661,23,Axonopus copmpressus,2
662,23,Eupatorium odoratum,58
663,23,Murdannia sps,1
664,23,Peperomia pellucida,1
665,23,Oplismenus compositus,2
666,23,Sida alinifolia,1
667,23,Ichnocarpus frutescens,1
668,23,Urena lobata,6
669,23,Eupatorium odoratum,15
670,23,Mimosa pudica,6
671,23,Sida rhombifolia,1
672,23,Zizyphus oenoplia,1
673,23,Andrographis atropurpurea,5
674,23,Hemidesmus indicus,3
675,23,Biophytum sensitivum,5
676,23,Naragami aalata,1
677,23,Spermacoce articularis,5
678,23,Hedyotis biflora,1
679,23,Osbeckia truncata,2
680,23,Staorogyne zeylanica,1
681,23,Phalaenopsis imbricata,4
682,23,Hyptis suaveolens,27
683,23,Urena lobata,4
684,23,Spermacoce articularis,39
685,23,Naragami aalata,3
686,23,Ichnocarpus frutescens,4
687,23,Eupatorium odoratum,31
688,23,Biophytum sensitivum,1
689,24,Hyptis suaveolens,25
690,24,Theriophonum fisheri,4
691,24,Eupatorium odoratum,3
692,24,Peperomia pellucida,2
693,24,Pogostemon sps,3
694,24,Axonopus copmpressus,16
695,24,Peperomia pellucida,1
696,24,??,1
697,24,Hedyotis biflora,3
698,24,Spermacoce articularis,18
699,24,Fimbristylis sps,29
700,24,Leucas aspera,3
701,24,Hedyotis herbacea,3
702,24,Pausolzia indica,2
703,24,Murdannia sps,5
704,24,Oplismenus compositus,2
705,24,Biophytum sensitivum,15
706,24,Cyperus sps,1
707,24,Hyptis suaveolens,57
708,24,Spermacoce articularis,53
709,24,Hemidesmus indicus,2
710,24,Mimosa pudica,2
711,25,Spermacoce articularis,1
712,25,Lindernia antipoda,15
713,25,Pogostemon sps,1
714,25,Commelina sps,27
715,25,Riccia sps,16
716,25,Hyptis suaveolens,19
717,25,Peperomia pellucida,10
718,25,Murdannia sps,6
719,25,Cymbopogon martini,1
720,25,Cyperus sps,1
721,25,Eupatorium odoratum,1
722,25,Spermacoce articularis,11
723,25,Hyptis suaveolens,2
724,25,Naragami aalata,2
725,25,Urena lobata,2
726,25,Spermacoce articularis,29
727,25,Biophytum sensitivum,5
728,25,Stachytarpheta indica,7
729,25,Desmodium trifolium,3
730,25,Zizyphus oenoplia,1
731,25,Ichnocarpus frutescens,1
732,25,Begonia malabarica,1
733,25,Hyptis suaveolens,26
734,25,Hedyotis herbacea,8
735,25,Stachytarpheta indica,1
736,25,Spermacoce articularis,58
737,25,Biophytum sensitivum,53
738,25,Hedyotis auricularia,1
739,25,Mimosa pudica,1
740,25,Cyperus sps,13
741,25,Justicia simplex,1
742,25,Axonopus copmpressus,15
743,25,Oplismenus compositus,20
744,26,Spermacoce articularis,54
745,26,Hedyotis biflora,7
746,26,Hemidesmus indicus,1
747,26,Lindernia crustacea,7
748,26,Biophytum sensitivum,4
749,26,Mimosa pudica,1
750,26,Axonopus copmpressus,2
751,26,Oplismenus compositus,23
752,26,Lindernia antipoda,1
753,26,Spermacoce articularis,57
754,26,Hedyotis herbacea,1
755,26,Hedyotis corymbosa,25
756,26,Sebastiania chamelia,1
757,26,Mimosa pudica,1
758,26,Axonopus copmpressus,9
759,26,Phyllanthus sps,1
760,26,Aneilema spiratum,7
761,26,Pogostemon sps,5
762,26,Commelina sps,33
763,26,Eupatorium odoratum,1
764,26,Pogostemon sps,6
765,26,Commelina sps,6
766,26,Aneilema spiratum,18
767,26,Eupatorium odoratum,1
768,27,Hedyotis auricularia,10
769,27,Mikania scandens,1
770,27,Lepidagathis cuspidata,8
771,27,Theriophonum fisheri,1
772,27,Staorogyne zeylanica,5
773,27,Dioscorea bulbifera,1
774,27,Axonopus copmpressus,8
775,27,Hemidesmus indicus,1
776,27,Oplismenus compositus,9
777,27,Lepidagathis hyalina,3
778,27,Hibiscus furcatus,3
779,27,Clerodendrum viscosum,3
780,27,Ficus hispida,1
781,27,Mikania scandens,5
782,27,Asystasia cristata,5
783,27,Asparagus racemosa,1
784,27,Mucuna gigantea,0
785,27,Ichnocarpus frutescens,5
786,27,Cyclea peltata,1
787,27,Staorogyne zeylanica,4
788,27,Artocarpus hirsuta,2
789,27,Bryophyllum pinnatum,2
790,27,Hemidesmus indicus,1
791,27,Hedyotis corymbosa,1
792,27,Naragami aalata,2
793,27,Gymnema sylvestre,1
794,27,Phalaenopsis imbricata,5
795,27,Axonopus copmpressus,1
796,27,Fern?,6
797,27,Cyperus sps,1
798,27,Helicteres isora,1
799,27,Hedyotis corymbosa,1
800,27,Torenia travancorensis,1
801,27,Naragami aalata,18
802,27,Staorogyne zeylanica,12
803,27,Phalaenopsis imbricata,7
804,27,Mikania scandens,4
805,27,Phyllanthus amara,1
806,27,Selaginella sps,3
807,27,Selaginella sps1,2
808,27,Axonopus copmpressus,9
809,27,Eupatorium odoratum,10
810,27,Oplismenus compositus,10
811,27,Chloris barbata,1
812,27,Helicteres isora,1
813,27,Ophiorrhiza mungos,2
814,27,Hedyotis corymbosa,9
815,27,Naragami aalata,12
816,27,Spermacoce articularis,9
817,27,Mikania scandens,3
818,27,Asystasia cristata,1
819,27,Sida cordifolia,1
820,27,Phyllanthus sps,3
821,27,Murdannia sps,3
822,27,Selaginella sps,1
823,27,Mimosa pudica,2
824,27,Ichnocarpus frutescens,2
825,27,Axonopus copmpressus,1
826,27,Oplismenus compositus,3
827,27,Phalaenopsis imbricata,2
828,28,Spermacoce articularis,26
829,28,Staorogyne zeylanica,39
830,28,Selaginella sps,25
831,28,Selaginella sps,16
832,28,Phalaenopsis imbricata,23
833,28,Sida rhombifolia,1
834,28,Axonopus copmpressus,1
835,28,Oplismenus compositus,1
836,28,Mimosa pudica,1
837,28,Sebastiania chamelia,1
838,28,Leucas aspera,1
839,28,Naragami aalata,2
840,28,Justicia simplex,24
841,28,Biophytum sensitivum,1
842,28,Spermacoce articularis,50
843,28,Heminotis arifolia,3
844,28,Cyathula prostrata,2
845,28,Selaginella sps,8
846,28,Selaginella sps,10
847,28,Sida rhombifolia,3
848,28,Eupatorium odoratum,1
849,28,Spermacoce articularis,4
850,28,Cyathula prostrata,14
851,28,Fimbristylis sps,1
852,28,Eupatorium odoratum,2
853,28,??,1
854,28,Mimosa pudica,5
855,28,Staorogyne zeylanica,6
856,28,Cyclea peltata,1
857,28,Cyperus rotundus,1
858,28,Phalaenopsis imbricata,4
859,28,Naragami aalata,1
860,28,Peperomia pellucida,1
861,28,Blepharistem macorymbosum,1
862,28,Biophytum sensitivum,4
863,28,Ipomoea paniculata,1
864,28,Axonopus copmpressus,6
865,28,Oplismenus compositus,3
866,28,Tragia involucrata,1
867,28,Naragami aalata,3
868,28,Spermacoce articularis,29
869,28,Eupatorium odoratum,2
870,28,Peperomia pellucida,1
